City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Lewiston,US,2023-02-02 12:06:47,44.1003,-70.2148,20.23,87,64,2.48
149,Ostrovnoy,RU,2023-02-02 12:06:47,68.0531,39.5131,24.57,95,94,14.14
150,Cape Town,ZA,2023-02-02 12:05:04,-33.9258,18.4232,77.11,56,0,19.57
151,Touho,NC,2023-02-02 12:06:48,-20.7833,165.2333,80.17,68,93,5.53
152,Tilichiki,RU,2023-02-02 12:06:48,60.4667,166.1,-4.16,98,46,8.05
153,Isangel,VU,2023-02-02 12:06:48,-19.55,169.2667,79.75,85,37,5.97
154,Port-Gentil,GA,2023-02-02 12:06:49,-0.7193,8.7815,81.5,78,44,4.34
155,George Town,MY,2023-02-02 12:05:50,5.4112,100.3354,84.13,82,40,11.99
156,Leh,IN,2023-02-02 12:06:49,34.1667,77.5833,16.7,65,98,0.67
157,Jiuquan,CN,2023-02-02 12:06:50,39.7432,98.5174,27.03,44,89,2.48
158,Martyush,RU,2023-02-02 12:06:50,56.4,61.8819,12.11,90,80,6.76
159,Mount Isa,AU,2023-02-02 12:06:50,-20.7333,139.5,76.77,69,100,5.75
160,Kaitangata,NZ,2023-02-02 12:06:51,-46.2817,169.8464,64.72,91,100,2.55
161,Norman Wells,CA,2023-02-02 12:06:51,65.282,-126.8329,-31.38,98,28,4.32
162,Namibe,AO,2023-02-02 12:06:51,-15.1961,12.1522,81.14,64,63,11.68
163,Alofi,NU,2023-02-02 12:06:52,-19.0595,-169.9187,80.78,72,100,17.92
164,Lakki Marwat,PK,2023-02-02 12:06:52,32.6079,70.9114,69.26,25,87,2.24
165,Westport,US,2023-02-02 12:02:52,41.1415,-73.3579,29.17,63,0,1.01
166,Andijon,UZ,2023-02-02 12:06:52,40.7821,72.3442,45.68,99,100,3.87
167,Los Llanos De Aridane,ES,2023-02-02 12:06:53,28.6585,-17.9182,62.35,63,40,5.99
168,Marawi,PH,2023-02-02 12:06:53,7.9986,124.2928,68.43,97,100,1.63
169,Lakes Entrance,AU,2023-02-02 12:06:53,-37.8811,147.981,52.16,88,71,15.95
170,Lasem,ID,2023-02-02 12:06:54,-6.6922,111.4527,76.78,87,100,11.39
171,Ancud,CL,2023-02-02 12:06:54,-41.8697,-73.8203,54.21,70,5,3.44
172,Aykhal,RU,2023-02-02 12:06:54,66.0,111.5,-23.93,100,97,4.27
173,Victoria,HK,2023-02-02 12:03:52,22.2855,114.1577,67.24,82,70,13.0
174,Jatiroto,ID,2023-02-02 12:06:55,-7.8833,111.1167,74.55,91,96,4.27
175,Alice Springs,AU,2023-02-02 12:06:55,-23.7,133.8833,72.95,64,1,4.61
176,Sisimiut,GL,2023-02-02 12:06:55,66.9395,-53.6735,-4.41,97,98,7.09
177,Sao Filipe,CV,2023-02-02 12:06:56,14.8961,-24.4956,71.89,69,90,10.31
178,Camocim,BR,2023-02-02 12:06:56,-2.9022,-40.8411,79.56,82,100,10.11
179,Baglan,AF,2023-02-02 12:06:56,36.1307,68.7083,57.25,51,92,1.43
180,Cedar City,US,2023-02-02 12:07:57,37.6775,-113.0619,11.37,79,0,3.44
181,Katsuura,JP,2023-02-02 12:07:57,35.1333,140.3,46.69,48,100,7.31
182,Zhigansk,RU,2023-02-02 12:07:57,66.7697,123.3711,-27.22,96,100,14.54
183,Longyearbyen,SJ,2023-02-02 12:03:17,78.2186,15.6401,10.24,67,75,16.11
184,Dryden,CA,2023-02-02 12:07:58,49.7833,-92.7503,-14.51,70,40,10.36
185,Coos Bay,US,2023-02-02 12:06:12,43.3665,-124.2179,47.14,93,0,9.22
186,Platteville,US,2023-02-02 12:07:59,42.7342,-90.4785,17.38,73,0,9.22
187,Aasiaat,GL,2023-02-02 12:07:59,68.7098,-52.8699,-10.77,100,99,7.85
188,Hlotse,LS,2023-02-02 12:07:59,-28.8718,28.045,78.64,36,27,4.54
189,Maltahohe,NA,2023-02-02 12:08:00,-24.8333,16.9833,90.21,25,87,8.77
190,Chuy,UY,2023-02-02 12:08:00,-33.6971,-53.4616,78.19,62,82,7.74
191,Mormugao,IN,2023-02-02 12:08:00,15.4,73.8,92.46,26,83,9.22
192,Portland,US,2023-02-02 12:03:53,45.5234,-122.6762,38.21,82,40,0.0
193,Nouadhibou,MR,2023-02-02 12:08:01,20.931,-17.0347,63.82,61,49,17.25
194,Xai-Xai,MZ,2023-02-02 12:08:01,-25.0519,33.6442,85.37,55,78,13.22
195,Tromso,NO,2023-02-02 12:04:27,69.6496,18.957,23.38,100,100,3.44
196,Outjo,NA,2023-02-02 12:08:02,-20.1167,16.15,82.8,40,80,0.83
197,Santa Ines,BR,2023-02-02 12:07:20,-3.6667,-45.38,77.34,88,97,1.36
198,Codajas,BR,2023-02-02 12:08:02,-3.8367,-62.0569,75.76,91,43,3.69
199,Khani,GE,2023-02-02 12:08:03,41.9563,42.9566,33.37,98,100,4.99
200,Narsimhapur,IN,2023-02-02 12:08:03,22.95,79.2,74.34,15,42,5.48
201,Zyryanka,RU,2023-02-02 12:08:03,65.75,150.85,-33.68,100,99,4.7
202,Boyarka,UA,2023-02-02 12:08:04,50.3191,30.2973,39.15,80,98,7.49
203,Senneterre,CA,2023-02-02 12:08:04,48.3835,-77.2328,3.58,97,100,5.99
204,Mastung,PK,2023-02-02 12:08:05,29.7994,66.845,57.87,34,0,6.4
205,Flinders,AU,2023-02-02 12:08:05,-34.5833,150.8552,74.17,84,43,1.99
206,Yumen,CN,2023-02-02 12:08:05,40.2833,97.2,25.99,32,37,6.93
207,Carnarvon,AU,2023-02-02 12:08:06,-24.8667,113.6333,81.36,68,5,14.74
208,Port Hardy,CA,2023-02-02 12:08:06,50.6996,-127.4199,41.7,90,100,20.71
209,Mafeteng,LS,2023-02-02 12:08:06,-29.823,27.2374,80.8,28,30,10.85
210,Loralai,PK,2023-02-02 12:08:07,30.3705,68.598,58.96,21,0,5.79
211,Korla,CN,2023-02-02 12:08:07,41.7597,86.1469,25.18,67,57,0.76
212,Leningradskiy,RU,2023-02-02 12:08:08,69.3833,178.4167,-10.1,99,91,6.13
213,Vila Do Maio,CV,2023-02-02 12:08:08,15.1333,-23.2167,74.19,75,46,18.81
214,Kirakira,SB,2023-02-02 12:08:08,-10.4544,161.9205,79.79,83,97,3.13
215,Druzhnaya Gorka,RU,2023-02-02 12:08:09,59.2761,30.1425,27.59,94,100,4.34
216,Mount Pleasant,US,2023-02-02 12:08:09,32.7941,-79.8626,54.01,98,100,5.75
217,Inta,RU,2023-02-02 12:08:09,66.0317,60.1659,21.4,90,68,12.62
218,Galesong,ID,2023-02-02 12:08:10,-5.3166,119.3661,78.82,87,100,8.88
219,Sur,OM,2023-02-02 12:08:10,22.5667,59.5289,73.99,52,1,10.29
220,Nizwa,OM,2023-02-02 12:08:11,22.9333,57.5333,77.85,26,0,6.49
221,Shingu,JP,2023-02-02 12:08:11,33.7333,135.9833,38.55,68,98,7.9
222,Suffolk,US,2023-02-02 12:06:14,40.8668,-72.7996,29.26,77,0,0.0
223,Saskylakh,RU,2023-02-02 12:08:11,71.9167,114.0833,-19.86,100,100,3.51
224,Sistranda,NO,2023-02-02 12:08:12,63.7256,8.834,37.36,51,86,14.79
225,Kasangulu,CD,2023-02-02 12:08:12,-4.5911,15.1708,89.24,51,77,3.98
226,Lompoc,US,2023-02-02 12:05:20,34.6391,-120.4579,45.59,87,0,10.36
227,Okahandja,NA,2023-02-02 12:08:13,-21.9833,16.9167,80.08,36,96,5.88
228,Auki,SB,2023-02-02 12:09:13,-8.7676,160.7034,77.68,88,94,4.36
229,Hirara,JP,2023-02-02 12:09:13,24.8,125.2833,67.98,77,100,20.18
230,Empoli,IT,2023-02-02 12:09:14,43.7175,10.9414,58.78,71,1,1.99
231,Paramonga,PE,2023-02-02 12:09:14,-10.6667,-77.8333,70.3,87,87,3.53
232,Chifeng,CN,2023-02-02 12:09:14,42.2683,118.9636,19.89,21,88,4.59
233,Coihaique,CL,2023-02-02 12:09:15,-45.5752,-72.0662,56.01,67,75,4.61
234,Bambous Virieux,MU,2023-02-02 12:09:15,-20.3428,57.7575,86.22,75,21,11.99
235,Praia Da Vitoria,PT,2023-02-02 12:09:15,38.7333,-27.0667,61.75,78,15,12.37
236,Hamilton,US,2023-02-02 12:08:30,39.1834,-84.5333,25.77,78,0,0.0
237,Mataram,ID,2023-02-02 12:09:16,-8.5833,116.1167,77.81,82,100,8.28
238,Nikolskoye,RU,2023-02-02 12:09:16,59.7035,30.7861,30.09,91,100,4.74
239,Rincon,US,2023-02-02 12:09:17,32.296,-81.2354,57.9,95,100,0.0
240,Mae Hong Son,TH,2023-02-02 12:09:17,19.3003,97.9685,79.03,37,4,1.88
241,Kroya,ID,2023-02-02 12:09:18,-7.6331,109.2461,78.42,84,97,3.6
242,Gouyave,GD,2023-02-02 12:09:18,12.1646,-61.7296,75.78,72,5,12.75
243,Kaeo,NZ,2023-02-02 12:09:18,-35.1,173.7833,71.33,97,98,8.34
244,Bathsheba,BB,2023-02-02 12:09:19,13.2167,-59.5167,79.41,69,40,16.11
245,Gorontalo,ID,2023-02-02 12:09:19,0.5412,123.0595,75.06,93,100,2.84
246,Manado,ID,2023-02-02 12:04:35,1.487,124.8455,77.77,94,40,1.14
247,Kalabagh,PK,2023-02-02 12:09:19,32.965,71.557,68.94,25,97,2.73
248,Iqaluit,CA,2023-02-02 12:09:20,63.7506,-68.5145,-45.17,92,39,5.84
249,Necochea,AR,2023-02-02 12:07:45,-38.5473,-58.7368,67.32,75,100,3.49
250,Shubarshi,KZ,2023-02-02 12:09:21,48.5872,57.1869,21.72,78,28,8.34
251,Bosaso,SO,2023-02-02 12:09:21,11.2842,49.1816,77.43,58,5,10.11
252,Simbahan,PH,2023-02-02 12:09:21,6.3032,120.5836,80.85,82,91,11.07
253,Ballina,AU,2023-02-02 12:09:22,-28.8667,153.5667,77.02,98,79,14.18
254,Salinopolis,BR,2023-02-02 12:09:22,-0.6136,-47.3561,74.26,95,100,4.99
255,Gaogou,CN,2023-02-02 12:09:22,34.0175,119.1886,35.91,49,100,7.94
256,Senno,RU,2023-02-02 12:09:23,59.5336,33.9167,29.26,88,98,7.9
257,Hammonton,US,2023-02-02 12:09:23,39.6365,-74.8024,32.7,50,98,2.55
258,Great Falls,US,2023-02-02 12:06:34,47.5002,-111.3008,15.67,91,100,6.91
259,Nicoya,CR,2023-02-02 12:09:23,10.1483,-85.452,72.16,82,39,11.16
260,Salalah,OM,2023-02-02 12:09:24,17.0151,54.0924,78.89,53,40,9.22
261,Dingle,PH,2023-02-02 12:09:24,10.9995,122.6711,75.47,91,19,7.63
